@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R1-3,5'

@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,2,1742,14408,6611,11223,22,clean
22401,2,1742,14408,6611,11223,22,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
