@relation dataset_message_feat_train

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
2,2,2,14754,10607,2,1577,4861,0,15566,0,clean
1,1,1,20525,20525,1,1577,5808,0,20525,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
2,1,1,22401,22491,2,1577,14408,6611,11223,22,clean
1,1,2,748,748,1,186,579,51,748,0,defective
3,2,4,57,14,3,177,561,49,5,17,defective
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,20525,20525,1,1577,5808,0,20525,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,305,305,1,1577,0,0,305,0,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,1649,1649,1,1577,359,0,1649,0,clean
1,1,1,1649,1649,1,1577,359,0,1649,0,clean
1,1,1,378,1473,2,1577,623,8,736,0,clean
1,1,1,378,378,1,1577,225,9,378,0,clean
1,1,1,20525,20525,1,1577,5808,0,20525,0,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,1172296,13308,4,1577,768,110,2318,1008,clean
1,1,1,1172296,13308,4,1577,768,110,2318,1008,clean
1,1,1,1172296,19962,6,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,11663,216,1,1577,96,0,107,109,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,1172296,6654,2,1577,768,110,2318,1008,clean
1,1,1,18,9,1,1577,44,0,6,3,clean
1,1,2,88,19,1,186,46,0,11,8,clean
2,2,2,4659,378,2,1577,510,102,247,245,clean
1,1,3,88,19,1,186,46,0,11,8,clean
1,1,1,18,9,1,1577,44,0,6,3,clean
1,1,1,18,9,1,1577,44,0,6,3,clean
1,1,1,18,9,1,1577,44,0,6,3,clean
1,1,2,88,19,1,186,46,0,11,8,clean
1,1,1,18,9,1,1577,44,0,6,3,clean
1,1,1,10607,10607,1,1577,3914,0,10607,0,clean
1,1,1,107,107,1,1577,0,0,107,0,clean
1,1,1,140,140,1,1577,39,0,140,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,193,193,1,1577,116,14,193,0,clean
1,1,1,185,185,1,1577,57,8,185,0,clean
1,1,1,107,107,1,1577,0,0,107,0,clean
1,1,1,107,107,1,1577,0,0,107,0,clean
1,1,1,56,56,1,1577,10,0,56,0,clean
1,1,1,107,107,1,1577,0,0,107,0,clean
1,1,1,9,6,1,1577,40,0,3,3,clean
1,1,2,1,2,1,177,45,0,1,1,clean
1,1,1,26,26,1,1577,40,0,0,26,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,3875235,4204,1,1577,1467,220,2839,1365,clean
1,1,1,4,4,1,1577,3106,681,0,4,clean
1,1,2,56048,609,1,177,3572,726,496,113,defective
1,1,1,100,29,1,1577,6882,2112,25,4,clean
1,1,1,1501,1501,1,1577,959,173,1501,0,defective
1,1,1,20525,20525,1,1577,5808,0,20525,0,clean
1,1,1,293,293,1,1577,0,0,0,293,clean
2,2,2,26,2,2,1577,2703,628,13,13,clean
1,1,1,300,37,1,1577,217,83,25,12,defective
1,1,1,5,5,1,1577,219,43,0,5,clean
1,1,1,44,44,1,1577,13,0,44,0,clean
1,1,1,806,1565,2,1577,739,228,403,379,defective
1,1,1,32,32,1,1577,1396,320,32,0,clean
1,1,1,60,16,1,1577,3617,837,6,10,clean
2,2,3,40641,851,2,186,3836,882,307,217,defective
1,1,4,55890,507,1,192,4113,934,345,162,defective
1,1,5,324384,1150,1,177,3951,853,496,654,defective
1,1,1,140,140,1,1577,39,0,140,0,clean
1,1,1,171,171,1,1577,89,0,171,0,clean
1,1,1,31240,394,1,1577,1034,160,110,284,defective
1,1,1,264,34,1,1577,330,67,22,12,defective
1,1,1,492,492,1,1577,349,56,492,0,clean
1,1,2,26,26,1,186,364,57,26,0,clean
1,1,1,185,42,1,1577,395,95,5,37,clean
1,1,1,100,29,1,1577,6882,2112,25,4,clean
1,1,1,226576,952,1,1577,6829,2100,476,476,defective
1,1,2,72,72,1,186,6973,2153,72,0,clean
1,1,1,1,2,1,1577,2510,618,1,1,clean
1,1,1,5,5,1,1577,2693,784,0,5,clean
1,1,1,110864,888,2,1577,3089,734,224,219,defective
1,1,1,492,492,1,1577,349,56,492,0,clean
1,1,2,26,26,1,186,364,57,26,0,clean
2,1,1,1501,1505,2,1577,959,173,751,1,defective
1,1,1,1501,1501,1,1577,959,173,1501,0,defective
1,1,1,90,47,1,1577,257,57,45,2,clean
1,1,1,140,72,1,1577,6919,1763,70,2,clean
1,1,1,6,6,1,1577,975,213,6,0,clean
1,1,1,144,50,2,1577,195,43,12,12,clean
1,1,1,11868,221,1,1577,1119,174,92,129,clean
2,1,2,75,183,2,192,1186,193,79,12,defective
1,1,1,1501,1501,1,1577,959,173,1501,0,defective
1,1,1,414,41,1,1577,2916,804,23,18,clean
1,1,1,24804,340,1,1577,1102,58,106,234,defective
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,22401,22401,1,1577,14408,6611,22401,0,clean
1,1,1,5329,146,1,1577,3551,660,73,73,defective
1,1,1,5,6,1,1577,8,2,5,1,clean
1,1,2,1,2,1,177,325,18,1,1,clean
2,1,1,6,10,2,1577,603,150,3,2,clean
1,1,2,12,7,1,192,258,69,4,3,clean
3,1,1,11,116,8,1577,646,130,14,0,defective
4,2,3,2,71,4,186,565,143,17,0,defective
4,3,6,5470,76,4,192,1610,269,731,101,defective
11,1,7,3,174,20,177,677,129,6,2,defective
1,1,1,65,88,2,1577,591,99,44,0,clean
4,1,2,81,156,6,186,86,17,16,9,defective
1,1,1,20667,332,1,1577,282,91,83,249,clean
1,1,1,3,4,1,1577,151,27,3,1,clean
1,1,2,1680,88,1,192,187,33,60,28,clean
1,1,1,638,805,2,1577,245,57,402,0,clean
1,1,1,155,1170,3,1577,239,57,390,0,defective
1,1,2,905,186,1,177,243,64,181,5,defective
4,3,3,161,11,12,1577,189,42,221,12,defective
1,1,4,7,8,1,186,2,0,7,1,clean
1,1,5,14,9,1,177,246,66,7,2,clean
1,1,1,184,184,1,1577,71,2,184,0,defective
1,1,2,3,3,1,186,73,3,3,0,defective
3,2,2,6,457,17,1577,1598,438,26,0,defective
5,3,5,89,7,9,186,1815,537,10,9,defective
4,2,7,2,18,5,192,2644,649,3,1,defective
1,1,8,1,1,1,177,7304,2222,1,0,clean
1,1,1,546,47,1,1577,3568,159,26,21,defective
1,1,2,7,7,1,186,138,38,7,0,clean
2,2,4,53,2,2,192,2141,175,27,27,clean
4,2,6,700,232,6,177,701,165,23,21,defective
3,1,1,1185,1210,3,1577,768,128,8,395,clean
1,1,1,12,7,1,1577,2812,762,4,3,clean
1,1,1,12,7,1,1577,2812,762,4,3,clean
1,1,2,12,8,1,192,2819,762,6,2,clean
1,1,1,2,2,1,1577,380,54,0,2,clean
1,1,2,121,22,1,192,380,54,11,11,clean
1,1,1,30,60,2,1577,2283,184,18,12,defective
1,1,2,1360,74,1,177,1000,208,34,40,defective
2,1,1,4,6,2,1577,412,86,2,1,clean
1,1,1,8,8,1,1577,1149,189,8,0,clean
1,1,2,1,1,1,177,552,106,0,1,clean
1,1,1,10,10,1,1577,437,108,0,10,clean
1,1,2,4,4,1,186,4516,330,2,2,clean
2,2,4,650,481,3,192,1776,146,156,15,defective
4,3,7,81,14,4,177,2625,206,22,19,defective
3,3,3,6,97,5,1577,1012,110,13,7,defective
1,1,4,136,136,1,186,67,10,136,0,clean
3,3,7,198,75,3,177,2241,220,62,13,defective
1,1,1,546,111,4,1577,2277,171,17,10,defective
1,1,2,7,279,3,186,90,19,93,0,clean
2,2,4,15,75,2,177,3691,167,37,1,defective
1,1,1,378,39,1,1577,42,12,21,18,clean
1,1,1,120,22,1,1577,1008,221,12,10,defective
1,1,2,25,10,1,192,1034,226,5,5,clean
1,1,1,31240,394,1,1577,1034,160,110,284,defective
1,1,2,775,56,1,192,1163,181,31,25,clean
2,2,2,5,1,2,1577,1371,318,3,2,clean
1,1,1,8,6,1,186,172,36,4,2,defective
1,1,1,138,1497,5,186,179,40,299,0,defective
2,2,3,358,446,2,192,159,38,231,9,defective
1,1,1,611,611,1,186,344,58,611,0,defective
2,1,1,5,181,7,186,201,43,22,3,defective
1,1,2,454,454,1,192,273,66,454,0,defective
2,1,1,37,516,2,186,1457,252,68,190,defective
12,1,1,288,7152,14,186,914,168,220,290,defective
1,1,1,735124,1715,1,186,561,104,871,844,defective
3,1,1,368,1693,3,186,762,150,88,476,clean
9,1,1,288,5999,11,186,806,151,224,320,defective
1,1,1,735124,1715,1,186,561,104,871,844,defective
1,1,2,1681,82,1,177,718,138,41,41,defective
8,1,1,288,5990,10,186,832,157,250,348,defective
1,1,1,735124,1715,1,186,561,104,871,844,defective
6,1,1,288,5970,8,186,872,164,311,434,defective
1,1,1,735124,1715,1,186,561,104,871,844,defective
7,1,1,288,6072,9,186,880,166,283,391,defective
1,1,1,735124,1715,1,186,561,104,871,844,defective
9,1,1,62,3131,11,186,1197,208,123,161,defective
1,1,1,4664,150,1,186,1840,382,44,106,clean
1,1,1,40,87,2,186,2051,424,42,1,clean
1,1,1,451,52,1,186,5603,1114,11,41,clean
2,2,2,38,16,2,186,448,122,54,0,clean
1,1,3,43,43,1,192,533,147,43,0,clean
1,1,1,206,274,2,186,88,11,137,0,defective
1,1,2,166,166,1,192,105,23,166,0,defective
1,1,1,7308,239,1,186,526,128,203,36,clean
1,1,1,2,3,1,186,89,0,1,2,clean
1,1,1,2960,114,1,186,120,31,74,40,clean
3,1,1,73,1604,4,186,917,171,71,329,defective
2,1,1,5,8,2,186,1443,252,3,1,clean
3,1,1,999,1275,3,186,829,153,409,16,clean
2,2,2,360,4,2,186,246,33,147,56,defective
1,1,1,20,20,1,186,242,46,20,0,clean
1,1,1,611,611,1,186,344,58,611,0,defective
1,1,1,7850,207,1,186,484,129,157,50,defective
1,1,1,40,41,1,186,25,0,40,1,clean
2,1,1,6643,260,3,186,14,0,50,36,clean
2,1,1,1972,96,2,186,21,0,30,18,clean
2,1,1,6643,346,3,186,67,1,60,54,clean
1,1,1,6643,164,1,186,1,0,91,73,clean
1,1,1,748,748,1,186,579,51,748,0,defective
1,1,2,68,36,1,177,558,48,2,34,clean
1,1,1,30,30,1,186,1158,180,30,0,clean
2,1,1,15,1482,2,186,638,129,92,648,clean
1,1,1,15,15,1,186,957,187,15,0,clean
1,1,1,1,2,1,186,182,0,1,1,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,7,7,1,186,964,300,7,0,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,7,7,1,186,964,300,7,0,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,88,19,1,186,46,0,11,8,clean
1,1,1,137,137,1,186,78,8,137,0,clean
2,2,2,292,127,2,186,35,2,77,12,defective
1,1,1,6643,347,4,186,516,125,44,42,clean
1,1,1,2960,114,1,186,120,31,74,40,clean
1,1,1,2960,114,1,186,120,31,74,40,clean
1,1,1,2960,114,1,186,120,31,74,40,clean
1,1,1,8100,180,1,186,101,2,90,90,clean
1,1,1,8100,180,1,186,101,2,90,90,clean
2,1,1,412,156,2,186,714,137,64,14,clean
1,1,1,748,748,1,186,579,51,748,0,defective
1,1,2,77,18,1,177,559,48,7,11,clean
1,1,1,6,6,1,186,664,146,0,6,clean
1,1,1,47,47,1,186,27,5,47,0,defective
1,1,2,8,8,1,192,20,4,0,8,clean
1,1,1,5,5,1,186,318,84,5,0,clean
1,1,1,26,26,1,186,364,57,26,0,clean
2,1,1,412,156,2,186,714,137,64,14,clean
2,1,1,10125,308,2,186,914,168,122,32,clean
6,1,1,10125,2101,6,186,867,161,116,233,clean
1,1,1,2210,147,1,186,163,30,130,17,defective
1,1,1,2210,147,1,186,163,30,130,17,defective
1,1,1,16,8,1,186,74,20,4,4,defective
1,1,1,56,15,1,186,316,42,7,8,clean
1,1,1,3,4,1,186,639,134,3,1,clean
3,1,1,22,35,3,186,30,9,10,1,clean
1,1,2,1,1,1,192,35,8,1,0,clean
1,1,3,1,2,1,177,35,8,1,1,clean
1,1,1,400,40,1,186,2574,814,20,20,clean
1,1,2,1,2,1,192,53,0,1,1,clean
1,1,3,11058,385,3,177,1156,333,68,60,defective
1,1,1,5,5,1,186,68,0,5,0,clean
1,1,1,60,17,1,186,1019,293,5,12,clean
1,1,1,5,6,1,186,216,82,1,5,clean
1,1,1,5,867,6,186,123,9,143,1,defective
1,1,2,1,2,1,192,9,0,1,1,clean
1,1,3,10,50,4,177,153,12,3,9,clean
1,1,1,400,40,1,186,2574,814,20,20,clean
1,1,2,11058,385,3,177,1156,333,68,60,defective
1,1,1,400,40,1,186,2574,814,20,20,clean
1,1,2,11058,385,3,177,1156,333,68,60,defective
2,1,1,32,34,2,192,665,138,16,0,clean
2,2,2,516,34,2,192,84,13,25,22,clean
1,1,3,1,1,1,177,86,14,1,0,clean
2,2,2,731,1221,12,192,86,15,126,48,clean
6,2,2,14,30,6,192,539,0,4,6,clean
2,1,3,3,13,2,177,544,0,5,1,clean
3,3,3,356,28,3,192,537,0,43,32,defective
1,1,4,8,9,1,177,546,0,8,1,clean
3,3,3,292,28,3,192,537,0,41,36,defective
1,1,1,22,23,1,192,3,0,1,22,clean
1,1,1,11,11,1,192,539,0,11,0,clean
1,1,1,11,11,1,192,539,0,11,0,clean
1,1,1,11,11,1,192,539,0,11,0,clean
1,1,1,81,18,1,192,190,40,9,9,defective
2,2,2,3,3,7,192,173,34,34,19,defective
1,1,1,76,139,2,192,446,111,69,0,defective
10,2,2,942,1847,23,192,851,101,200,35,defective
1,1,1,8420,441,1,192,3240,763,421,20,defective
1,1,1,1187,1187,1,192,949,193,1187,0,defective
1,1,1,1187,1187,1,192,949,193,1187,0,defective
3,2,2,2732,395,3,192,5001,379,154,19,defective
1,1,1,1187,1187,1,192,949,193,1187,0,defective
2,1,1,43,55,2,192,343,76,25,2,clean
1,1,1,2079,120,1,192,1711,421,99,21,defective
1,1,1,386,386,1,192,247,45,386,0,clean
3,2,2,202,408,3,192,1231,292,82,63,defective
1,1,1,41132,408,1,192,1259,296,226,182,clean
1,1,2,4,4,1,177,1261,296,2,2,clean
1,1,1,41132,408,1,192,1259,296,226,182,clean
1,1,1,34,70,2,192,2729,694,34,1,defective
2,2,3,5,70,3,177,2729,689,1,23,defective
1,1,1,322,53,1,192,136,10,46,7,clean
1,1,1,415,415,1,192,279,48,415,0,defective
3,2,2,1019,14,3,192,838,208,194,69,defective
1,1,1,50,15,1,192,1680,399,10,5,clean
1,1,1,336,62,1,192,894,170,56,6,clean
2,2,2,731,1221,12,192,86,15,126,48,clean
1,1,1,10,10,1,192,24,3,10,0,clean
1,1,1,9,9,1,192,967,301,9,0,clean
2,2,2,4,16,2,192,539,0,8,0,clean
1,1,1,49,49,1,192,18,2,49,0,clean
1,1,1,8532,187,1,192,535,0,108,79,defective
1,1,1,8,26,3,192,96,10,8,0,clean
2,2,2,6,26,4,192,72,8,8,0,clean
3,2,2,92,32,5,192,455,37,42,39,defective
1,1,1,595,52,1,192,3808,770,35,17,clean
1,1,1,8532,187,1,192,535,0,108,79,defective
1,1,1,41132,408,1,192,1259,296,226,182,clean
1,1,1,46782,433,1,192,188,17,207,226,clean
1,1,1,46782,433,1,192,188,17,207,226,clean
1,1,1,8420,441,1,192,3240,763,421,20,defective
2,1,2,42513,815,2,177,3384,796,191,216,defective
1,1,1,99,99,1,192,29,0,99,0,clean
1,1,1,99,99,1,192,29,0,99,0,clean
1,1,1,883060,1988,1,192,891,267,670,1318,clean
1,1,1,2,2,1,192,7243,2208,2,0,clean
1,1,1,4,4,1,192,2779,805,4,0,clean
1,1,2,3828,124,1,177,2862,838,66,58,clean
1,1,1,4,4,1,192,2779,805,4,0,clean
1,1,2,3828,124,1,177,2862,838,66,58,clean
1,1,1,768,768,1,192,496,88,768,0,clean
1,1,1,106,106,1,192,46,8,106,0,clean
1,1,1,441,42,1,192,385,83,21,21,clean
1,1,1,8420,441,1,192,3240,763,421,20,defective
1,1,2,321,321,1,177,3266,770,0,321,clean
3,2,2,8,4,3,192,2972,762,9,1,clean
1,1,1,2,2,1,192,19,0,0,2,clean
1,1,2,2464,100,1,177,1422,338,56,44,clean
1,1,1,4,5,1,192,367,60,1,4,clean
1,1,1,415,415,1,192,279,48,415,0,defective
1,1,1,883060,1988,1,192,891,267,670,1318,clean
5,1,1,957,409,5,192,7255,2212,79,2,defective
1,1,1,38,38,1,192,7276,2219,38,0,clean
1,1,1,1150,73,1,192,2779,805,50,23,defective
1,1,1,69,70,1,192,537,94,69,1,clean
4,1,1,75,337,4,192,1247,204,69,14,defective
1,1,1,285,62,1,192,1405,230,57,5,clean
4,1,1,2016,328,4,192,1260,208,60,21,defective
2,1,1,2016,200,2,192,1206,201,73,26,defective
3,1,1,1827,161,3,192,1281,210,40,13,defective
1,1,1,72,22,1,192,1011,253,18,4,defective
2,2,3,140,2,2,177,1193,298,133,18,defective
1,1,1,71,71,1,192,7054,1805,71,0,clean
2,2,2,43,22,2,192,1011,252,22,2,defective
1,1,1,336,62,1,192,894,170,56,6,clean
1,1,1,768,768,1,192,496,88,768,0,clean
1,1,1,1,2,1,192,383,94,1,1,clean
3,1,1,32,148,3,192,675,138,33,16,clean
3,1,1,44,1245,10,192,1470,380,120,4,defective
3,1,2,42,60,3,177,1534,405,18,2,defective
1,1,1,16,16,1,192,133,22,16,0,clean
1,1,1,12,8,1,192,2819,762,6,2,clean
2,2,2,1,2,2,192,167,36,2,0,clean
1,1,3,4,5,1,177,170,36,4,1,clean
1,1,1,297,38,1,177,1131,349,11,27,clean
1,1,1,7,8,1,177,86,14,1,7,clean
2,1,1,21,120,15,177,322,0,2,5,clean
1,1,1,68,21,1,177,39,0,17,4,clean
2,1,1,277,2646,4,177,484,94,661,0,defective
1,1,1,335,335,1,177,186,19,335,0,defective
1,1,1,335,335,1,177,186,19,335,0,defective
1,1,1,335,335,1,177,186,19,335,0,defective
1,1,1,659,659,1,177,488,58,659,0,defective
1,1,1,455,48,1,177,688,171,35,13,clean
1,1,1,9,6,1,177,135,19,3,3,clean
1,1,1,373246,1297,1,177,1688,102,866,431,defective
